,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Alabama,85,89,89,83,100,70,75,78,84,75
Alaska,31,51,32,33,35,14,30,32,31,39
Arizona,97,94,82,90,77,69,88,95,60,69
Arkansas,64,62,76,76,68,74,67,63,63,93
California,463,451,422,376,376,388,344,396,375,390
Colorado,78,84,72,77,81,75,84,65,82,92
Connecticut,29,26,48,35,28,44,35,29,36,37
Delaware,7,18,7,10,12,8,12,11,14,10
Florida,275,306,332,299,309,272,228,239,218,226
Georgia,193,207,186,194,171,180,152,117,101,111
Hawaii,16,26,22,20,29,18,31,11,20,26
Idaho,32,36,45,37,30,36,34,30,19,37
Illinois,135,158,184,163,171,172,164,176,146,177
Indiana,158,146,173,138,137,115,130,127,115,125
Iowa,58,76,77,72,76,60,91,72,97,93
Kansas,55,83,61,72,74,60,73,55,76,78
Kentucky,92,78,83,70,92,99,82,86,91,93
Louisiana,103,119,98,117,95,112,120,114,116,111
Maine,20,20,17,18,18,15,19,19,19,26
Maryland,59,78,97,87,92,69,74,79,72,71
Massachusetts,69,86,97,108,109,69,55,57,44,68
Michigan,131,164,155,153,162,134,143,135,137,141
Minnesota,67,80,75,101,92,74,62,69,70,60
Mississippi,44,59,78,90,71,77,75,68,63,63
Missouri,105,106,145,125,124,117,106,118,88,132
Montana,29,38,28,32,38,36,28,28,34,49
Nebraska,48,53,44,35,60,50,55,39,48,39
Nevada,37,40,39,32,54,44,40,42,42,38
New Hampshire,14,11,20,11,22,18,17,14,14,9
New Jersey,82,74,83,69,101,97,87,102,92,99
New Mexico,37,55,43,44,41,35,53,54,39,52
North Carolina,189,186,178,183,174,150,137,109,146,148
North Dakota,26,37,35,38,28,47,38,56,65,44
Ohio,117,166,158,174,164,202,185,149,161,155
Oklahoma,75,73,91,91,92,91,98,92,97,86
Oregon,60,69,62,60,72,44,69,49,43,58
Pennsylvania,148,154,177,172,163,173,179,183,194,186
Rhode Island,5,10,9,8,9,6,10,10,8,7
South Carolina,102,108,98,88,96,117,64,75,63,81
South Dakota,32,20,32,30,31,21,29,20,31,31
Tennessee,142,124,122,128,122,112,127,95,101,120
Texas,469,608,488,534,545,527,531,508,536,433
Utah,48,51,49,43,44,42,54,37,39,39
Vermont,8,10,11,22,10,9,10,7,11,8
Virginia,118,180,157,118,153,106,116,128,149,127
Washington,83,84,86,84,78,70,88,56,67,60
West Virginia,47,46,57,51,47,35,38,61,49,43
Wisconsin,108,113,114,106,105,104,99,97,114,89
Wyoming,35,32,31,20,34,34,37,26,35,32
New York State and New York City,223,273,271,313,272,236,241,178,202,206
